sic,ff12_ind
0100,Consumer NonDurables
0101,Consumer NonDurables
0102,Consumer NonDurables
0103,Consumer NonDurables
0104,Consumer NonDurables
0105,Consumer NonDurables
0106,Consumer NonDurables
0107,Consumer NonDurables
0108,Consumer NonDurables
0109,Consumer NonDurables
0110,Consumer NonDurables
0111,Consumer NonDurables
0112,Consumer NonDurables
0113,Consumer NonDurables
0114,Consumer NonDurables
0115,Consumer NonDurables
0116,Consumer NonDurables
0117,Consumer NonDurables
0118,Consumer NonDurables
0119,Consumer NonDurables
0120,Consumer NonDurables
0121,Consumer NonDurables
0122,Consumer NonDurables
0123,Consumer NonDurables
0124,Consumer NonDurables
0125,Consumer NonDurables
0126,Consumer NonDurables
0127,Consumer NonDurables
0128,Consumer NonDurables
0129,Consumer NonDurables
0130,Consumer NonDurables
0131,Consumer NonDurables
0132,Consumer NonDurables
0133,Consumer NonDurables
0134,Consumer NonDurables
0135,Consumer NonDurables
0136,Consumer NonDurables
0137,Consumer NonDurables
0138,Consumer NonDurables
0139,Consumer NonDurables
0140,Consumer NonDurables
0141,Consumer NonDurables
0142,Consumer NonDurables
0143,Consumer NonDurables
0144,Consumer NonDurables
0145,Consumer NonDurables
0146,Consumer NonDurables
0147,Consumer NonDurables
0148,Consumer NonDurables
0149,Consumer NonDurables
0150,Consumer NonDurables
0151,Consumer NonDurables
0152,Consumer NonDurables
0153,Consumer NonDurables
0154,Consumer NonDurables
0155,Consumer NonDurables
0156,Consumer NonDurables
0157,Consumer NonDurables
0158,Consumer NonDurables
0159,Consumer NonDurables
0160,Consumer NonDurables
0161,Consumer NonDurables
0162,Consumer NonDurables
0163,Consumer NonDurables
0164,Consumer NonDurables
0165,Consumer NonDurables
0166,Consumer NonDurables
0167,Consumer NonDurables
0168,Consumer NonDurables
0169,Consumer NonDurables
0170,Consumer NonDurables
0171,Consumer NonDurables
0172,Consumer NonDurables
0173,Consumer NonDurables
0174,Consumer NonDurables
0175,Consumer NonDurables
0176,Consumer NonDurables
0177,Consumer NonDurables
0178,Consumer NonDurables
0179,Consumer NonDurables
0180,Consumer NonDurables
0181,Consumer NonDurables
0182,Consumer NonDurables
0183,Consumer NonDurables
0184,Consumer NonDurables
0185,Consumer NonDurables
0186,Consumer NonDurables
0187,Consumer NonDurables
0188,Consumer NonDurables
0189,Consumer NonDurables
0190,Consumer NonDurables
0191,Consumer NonDurables
0192,Consumer NonDurables
0193,Consumer NonDurables
0194,Consumer NonDurables
0195,Consumer NonDurables
0196,Consumer NonDurables
0197,Consumer NonDurables
0198,Consumer NonDurables
0199,Consumer NonDurables
0200,Consumer NonDurables
0201,Consumer NonDurables
0202,Consumer NonDurables
0203,Consumer NonDurables
0204,Consumer NonDurables
0205,Consumer NonDurables
0206,Consumer NonDurables
0207,Consumer NonDurables
0208,Consumer NonDurables
0209,Consumer NonDurables
0210,Consumer NonDurables
0211,Consumer NonDurables
0212,Consumer NonDurables
0213,Consumer NonDurables
0214,Consumer NonDurables
0215,Consumer NonDurables
0216,Consumer NonDurables
0217,Consumer NonDurables
0218,Consumer NonDurables
0219,Consumer NonDurables
0220,Consumer NonDurables
0221,Consumer NonDurables
0222,Consumer NonDurables
0223,Consumer NonDurables
0224,Consumer NonDurables
0225,Consumer NonDurables
0226,Consumer NonDurables
0227,Consumer NonDurables
0228,Consumer NonDurables
0229,Consumer NonDurables
0230,Consumer NonDurables
0231,Consumer NonDurables
0232,Consumer NonDurables
0233,Consumer NonDurables
0234,Consumer NonDurables
0235,Consumer NonDurables
0236,Consumer NonDurables
0237,Consumer NonDurables
0238,Consumer NonDurables
0239,Consumer NonDurables
0240,Consumer NonDurables
0241,Consumer NonDurables
0242,Consumer NonDurables
0243,Consumer NonDurables
0244,Consumer NonDurables
0245,Consumer NonDurables
0246,Consumer NonDurables
0247,Consumer NonDurables
0248,Consumer NonDurables
0249,Consumer NonDurables
0250,Consumer NonDurables
0251,Consumer NonDurables
0252,Consumer NonDurables
0253,Consumer NonDurables
0254,Consumer NonDurables
0255,Consumer NonDurables
0256,Consumer NonDurables
0257,Consumer NonDurables
0258,Consumer NonDurables
0259,Consumer NonDurables
0260,Consumer NonDurables
0261,Consumer NonDurables
0262,Consumer NonDurables
0263,Consumer NonDurables
0264,Consumer NonDurables
0265,Consumer NonDurables
0266,Consumer NonDurables
0267,Consumer NonDurables
